AREOPORTO_PARTENZA,AREOPORTO_ARRIVO,PAESE_PART,ZONA,tot_investigati,tasso_allarme,alert_rate_alb,pct_respinto,pct_segnalato,anomaly_iso,anomaly_lof,anomaly_zscore,anomaly_consensus,n_flags,anomaly_score
amm,blq,giordania,8,4.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.050275364897100744
ssh,vce,egitto,4,13.0,0.15384615384615385,0.15384615384615385,0.0,0.5,0,0,0,0,0,0.05022322183004336
yyz,fco,canada,5,16.0,0.0625,0.0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0.05001905860819692
cmn,cuf,marocco,1,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.04921243770344386
rmo,blq,moldavia,8,6.0,0.3333333333333333,0.4,0.25,0.0,0,0,0,0,0,0.04908461051838028
bhx,bgy,regno unito,2,15.0,0.06666666666666667,0.08333333333333333,0.25,0.5,0,0,0,0,0,0.04734355801083472
man,bgy,regno unito,2,37.0,0.08108108108108109,0.08333333333333333,0.3333333333333333,0.13333333333333333,0,0,0,0,0,0.04562455073455359
ltn,tsf,regno unito,4,9.0,0.0,0.0,0.5,0.0,0,0,0,0,1,0.044982689948260955
znz,vrn,tanzania,4,3.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0.04494231527833232
skp,fco,macedonia,5,6.0,0.16666666666666666,0.16666666666666666,0.3,0.2,0,0,0,0,0,0.04476207596154717
stn,vrn,regno unito,4,41.0,0.0975609756097561,0.1111111111111111,0.23529411764705882,0.11764705882352941,0,0,0,0,0,0.04324606790661097
ltn,trn,regno unito,1,9.0,0.2222222222222222,0.2222222222222222,0.2,0.0,0,0,0,0,0,0.04179058386753409
iad,fco,stati uniti,5,0.0,0.17504013260736295,0.0,0.0,0.0,0,0,0,0,0,0.04101877983616863
bos,fco,stati uniti,5,2.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0.039280745303440674
dfw,fco,stati uniti,5,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.03751540452597268
hgh,fco,cina,5,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.03720089508238266
szx,mxp,cina,2,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.03689655735475849
icn,mxp,corea del sud,2,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.03360033097630539
amm,bgy,giordania,2,16.0,0.0625,0.06666666666666667,0.0,0.25,0,0,0,0,0,0.033587251795210986
