OCCORRENZE,AREOPORTO_ARRIVO,AREOPORTO_PARTENZA,DATA_PARTENZA,CITTA_ARR,CITTA_PARTENZA,PAESE_PART,ZONA,TOT,MOTIVO_ALLARME,note_operatore,flag_rischio
voli investigati,fco,hnd,2024-01-08 13:20:00,roma,tokyo,giappone,5,1,,,
voli solo visualizzati,mxp,ewr,2024-02-01 21:50:00,milano,newark,stati uniti,2,1,interpol,,
voli con allarmi,suf,stn,2024-01-04 08:10:00,lamezia terme,londra,regno unito,6,0,manuale,,
allarmi generati,mxp,jfk,2024-01-24 18:15:00,milano,new york,stati uniti,2,8,sdi,,
viaggiatori investigati,fco,sin,2024-02-02 02:05:00,roma,singapore,singapore,5,185,nsis,,
esito negativo,bgy,tia,2024-02-19 15:15:00,bergamo,tirana,albania,2,28,nsis,,
viaggiatori entrati,fco,rak,2024-02-03 10:20:00,roma,marrakech,marocco,5,176,,,
viaggiatori entrati,mxp,alg,2024-01-14 10:15:00,milano,algeri,algeria,2,148,interpol,,
esito negativo,fco,auh,2024-01-16 17:45:00,roma,abu dhabi,emirati arabi uniti,5,9,tsc,,
voli solo visualizzati,fco,gyd,2024-01-30 23:15:00,roma,baku,azerbaigian,5,1,nsis,,
viaggiatori entrati,peg,stn,2024-02-02 06:15:00,perugia,londra,regno unito,5,165,tsc,,
allarmi generati,blq,ist,2024-02-08 00:00:00,bologna,istanbul,turchia,8,13,sdi,,
voli con allarmi,fco,ist,2024-01-01 09:15:00,roma,istanbul,turchia,5,1,,,
voli disponibili,bgy,stn,2024-01-27 21:40:00,bergamo,londra,regno unito,2,1,interpol,,
esito negativo,cia,tia,2024-02-21 08:55:00,roma,tirana,albania,5,12,,,
viaggiatori con allarmi,blq,saw,2024-01-24 11:30:00,bologna,istanbul,turchia,8,8,,,
