occorrenze,areoporto_arrivo,areoporto_partenza,anno_partenza,mese_partenza,data_partenza,descr_aereoporto_arr,descr_aereoporto_part,citta_arr,citta_partenza,codice_paese_arr,codice_paese_part,paese_arr,paese_part,zona,tot,motivo_allarme,note_operatore,flag_rischio,paese_partenza,codice_paese_arr__1,col_3zona,paese_arr__1,tot_voli
voli con allarmi,mxp,add,2024,1,2024-01-02 00:15:00,malpensa,bole international,milano,addis ababa,ita,eth,italia,etiopia,2,1.0,nsis,,,etiopia,ita,2,italia,1.0
viaggiatori investigati,fco,tun,2024,1,2024-01-19 19:05:00,fiumicino,carthage,roma,tunis,ita,tun,italia,tunisia,5,140.0,tsc,,,tunisia,ita,5,italia,140.0
voli con allarmi,fco,mia,2024,2,2024-02-01 19:50:00,fiumicino,miami international,roma,miami,ita,,italia,stati uniti,5,1.0,sdi,,,stati uniti,ita,5,italia,1.0
voli disponibili in ingresso al sistema,mxp,tia,2024,1,2024-01-20 06:20:00,malpensa,rinas mother teresa,milano,tirana,ita,alb,italia,albania,2,1.0,manuale,,,albania,ita,2,italia,1.0
viaggiatori entrati nel sistema,fco,cai,2023,1,2024-01-08 17:55:00,fiumicino,cairo international,roma,cairo,ita,egy,italia,egitto,5,,manuale,,,egitto,ita,5,italia,126.0
voli con allarmi,goa,stn,2024,2,2024-02-09 18:05:00,cristoforo colombo,stansted,genova,londra,ita,gbr,italia,regno unito,1,1.0,tsc,,,regno unito,ita,1,italia,1.0
allarmi chiusi,mxp,del,2024,2,2024-02-04 14:20:00,malpensa,indira gandhi international,milano,nuova delhi,ita,ind,italia,india,2,27.0,interpol,,,india,ita,2,italia,27.0
viaggiatori entrati nel sistema,mxp,mba,2024,1,,malpensa,moi international,milano,mombasa,ita,ken,italia,kenya,2,329.0,tsc,,,kenya,ita,2,italia,329.0
viaggiatori con allarmi,mxp,cai,2024,1,2024-01-29 09:35:00,malpensa,cairo international,milano,cairo,ita,egy,italia,egitto,2,26.0,nsis,,,egitto,ita,2,italia,26.0
viaggiatori con allarmi,mxp,lgw,2023,1,2024-01-04 09:25:00,malpensa,london gatwick,milano,londra,ita,gbr,italia,regno unito,2,6.0,,,,regno unito,ita,2,italia,6.0
viaggiatori entrati nel sistema,bgy,stn,2024,1,2024-01-22 11:45:00,orio al serio,stansted,bergamo,londra,ita,gbr,italia,regno unito,2,174.0,interpol,,,regno unito,ita,2,italia,174.0
"voli solo visualizzati, ma non investigati",mxp,jfk,2023,1,2024-01-26 18:15:00,malpensa,john f kennedy international,milano,new york,ita,usa,italia,stati uniti,2,1.0,,,,stati uniti,ita,2,italia,1.0
allarmi generati da sdi/nsis,lin,lhr,2024,1,2024-01-05 15:00:00,linate,london heathrow,milano,londra,ita,gbr,italia,regno unito,2,5.0,sdi,,,regno unito,ita,2,italia,5.0
viaggiatori entrati nel sistema,mxp,lhr,2024,1,2024-01-10 13:45:00,malpensa,london heathrow,milano,londra,ita,gbr,italia,regno unito,2,68.0,sdi,,,regno unito,ita,2,italia,68.0
