occorrenze,areoporto_arrivo,areoporto_partenza,anno_partenza,mese_partenza,data_partenza,descr_aereoporto_arr,descr_aereoporto_part,citta_arr,citta_partenza,codice_paese_arr,codice_paese_part,paese_arr,paese_part,zona,tot,motivo_allarme,note_operatore,flag_rischio,paese_partenza,codice_paese_arr__1,col_3zona,paese_arr__1,tot_voli
"voli solo visualizzati, ma non investigati",mxp,cai,2024,2,2024-02-28 09:35:00,malpensa,cairo international,milano,,ita,egy,italia,egitto,2,1.0,nsis,,,egitto,ita,2,italia,1.0
viaggiatori entrati nel sistema,bgy,tia,2024,2,2024-02-25 10:10:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,alb,italia,albania,2,177.0,nsis,,,albania,ita,2,italia,177.0
voli con allarmi,mxp,ika,2024,1,2024-01-03 08:50:00,malpensa,imam khomeini international,milano,tehran,ita,irn,italia,iran,2,1.0,nsis,,,iran,ita,2,italia,1.0
viaggiatori entrati nel sistema,fco,gru,2023,,2024-01-26 18:00:00,fiumicino,sao paulo/guarulhos-governador andre franco montoro international,roma,san paolo,ita,bra,italia,brasile,5,385.0,,,,brasile,ita,5,italia,385.0
viaggiatori investigati,vce,lgw,2024,1,2024-01-11 19:55:00,venezia marco polo,london gatwick,venezia,londra,ita,gbr,italia,regno unito,4,131.0,nsis,,,regno unito,ita,4,italia,131.0
"voli solo visualizzati, ma non investigati",vce,bhx,2024,1,2024-01-19 13:40:00,venezia marco polo,birmingham international,venezia,birmingham,ita,gbr,italia,regno unito,4,1.0,tsc,,,regno unito,ita,4,italia,1.0
viaggiatori investigati,vrn,lgw,2024,2,2024-02-19 17:20:00,verona villafranca,london gatwick,verona,londra,ita,gbr,italia,,4,74.0,sdi,,,regno unito,ita,4,italia,74.0
voli disponibili in ingresso al sistema,cia,rak,2024,2,2024-02-12 05:45:00,ciampino,menara,roma,marrakech,ita,mar,italia,marocco,5,1.0,nsis,,,marocco,ita,5,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),bgy,tia,2024,2,2024-02-03 08:20:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,//,italia,albania,2,1.0,tsc,,,albania,ita,2,italia,1.0
viaggiatori entrati nel sistema,fco,amm,2024,1,2024-01-02 12:00:00,fiumicino,queen alia international,roma,amman,ita,jor,italia,giordania,5,98.0,,,,giordania,ita,5,italia,98.0
viaggiatori investigati,cta,tia,2024,1,2024-01-17 13:25:00,fontanarossa,rinas mother teresa,catania,tirana,ita,alb,italia,albania,7,58.0,nsis,,,albania,ita,7,italia,58.0
"voli solo visualizzati, ma non investigati",fco,szx,2023,,2024-01-28 01:30:00,fiumicino,shenzhen,roma,shenzhen,ita,chn,italia,cina,5,1.0,nsis,,,cina,ita,5,italia,1.0
allarmi generati da sdi/nsis,bri,tia,2024,2,2024-02-28 11:35:00,palese,rinas mother teresa,bari,tirana,ita,alb,italia,albania,9,15.0,nsis,,,albania,ita,9,italia,15.0
viaggiatori investigati,vce,skp,2024,2,,venezia marco polo,petrovec,venezia,skopie,ita,mkd,italia,macedonia,4,153.0,tsc,,,macedonia,ita,4,italia,153.0
"voli solo visualizzati, ma non investigati",flr,lcy,2024,1,2024-01-07 16:10:00,firenze peretola,london city,firenze,londra,ita,gbr,italia,regno unito,8,1.0,tsc,,,regno unito,ita,8,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),fco,auh,2024,2,2024-02-17 14:40:00,fiumicino,abu dhabi international,roma,abu dhabi,ita,are,italia,emirati arabi uniti,5,1.0,manuale,,,emirati arabi uniti,ita,5,italia,1.0
"voli solo visualizzati, ma non investigati",blq,ist,2024,1,,guglielmo marconi,havalimani,bologna,istanbul,ita,tur,italia,turchia,8,1.0,sdi,,,turchia,ita,8,italia,1.0
allarmi generati da sdi/nsis,bgy,saw,,7,2024-02-23 10:35:00,orio al serio,sabiha gokcen,bergamo,istanbul,ita,tur,italia,turchia,2,10.0,,,,turchia,ita,2,italia,10.0
viaggiatori entrati nel sistema,fco,beg,2024,2,2024-02-06 06:10:00,fiumicino,nikola tesla,roma,belgrado,ita,srb,italia,serbia,5,159.0,,,,serbia,ita,5,italia,159.0
viaggiatori investigati,mxp,bah,2024,1,2024-01-16 01:40:00,malpensa,bahrain international,milano,manama,ita,bhr,italia,bahrain,2,158.0,sdi,,,bahrain,ita,2,italia,158.0
viaggiatori con allarmi,blq,lhr,2024,1,2024-01-25 19:40:00,guglielmo marconi,london heathrow,bologna,londra,ita,gbr,italia,regno unito,8,3.0,tsc,,,regno unito,ita,8,italia,3.0
allarmi generati da sdi/nsis,fco,auh,2024,1,2024-01-29 14:40:00,fiumicino,abu dhabi international,roma,abu dhabi,ita,are,italia,emirati arabi uniti,5,15.0,tsc,,,emirati arabi uniti,ita,5,italia,15.0
"voli solo visualizzati, ma non investigati",trn,man,2024,2,2024-02-11 07:15:00,sandro pertini,manchester,torino,manchester,ita,gbr,italia,regno unito,1,1.0,,,,regno unito,ita,1,italia,1.0
allarmi chiusi,lin,lhr,2024,1,2024-01-19 12:25:00,linate,london heathrow,milano,londra,ita,gbr,italia,regno unito,2,2.0,sdi,,,regno unito,ita,2,italia,2.0
allarmi generati da sdi/nsis,bgy,tia,2024,2,2024-02-02 12:10:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,alb,italia,albania,2,23.0,,,,albania,ita,2,italia,23.0
errata segnalazione sdi,mxp,man,2024,1,2024-01-21 18:25:00,malpensa,manchester,milano,manchester,ita,gbr,italia,regno unito,2,1.0,sdi,,,regno unito,ita,2,italia,1.0
viaggiatori con allarmi,mxp,cai,2024,6,2024-01-06 09:35:00,malpensa,cairo international,milano,cairo,ita,egy,italia,egitto,2,8.0,tsc,,,egitto,ita,2,italia,8.0
viaggiatori con allarmi,trs,stn,2024,1,2024-01-27 18:05:00,ronchi dei legionari,stansted,trieste,londra,ita,gbr,italia,regno unito,4,3.0,,,,regno unito,ita,4,italia,3.0
voli con allarmi,cuf,cmn,2024,1,2024-01-16 07:00:00,levaldigi,mohamed v,cuneo,casablanca,ita,mar,italia,marocco,1,1.0,sdi,,,marocco,ita,1,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),mxp,mle,2024,1,2024-01-13 12:10:00,malpensa,male international,milano,male,ita,mdv,italia,maldive,2,1.0,,,,maldive,ita,2,italia,1.0
allarmi generati da sdi/nsis,fco,lhr,2024,2,2024-02-25 12:55:00,fiumicino,london heathrow,roma,londra,ita,gbr,italia,regno unito,5,1.0,tsc,,,regno unito,ita,5,italia,1.0
allarmi chiusi,tsf,tia,,2,,treviso-sant'angelo,rinas mother teresa,treviso,tirana,ita,alb,italia,albania,4,46.0,,,,albania,ita,4,italia,46.0
allarmi generati da sdi/nsis,fco,add,2024,2,2024-02-25 00:05:00,fiumicino,bole international,roma,,ita,eth,italia,etiopia,5,20.0,nsis,,,etiopia,ita,5,italia,20.0
viaggiatori entrati nel sistema,mxp,tia,2024,1,2024-01-07 10:30:00,malpensa,rinas mother teresa,milano,tirana,ita,alb,italia,albania,2,178.0,interpol,,,albania,ita,2,italia,178.0
viaggiatori entrati nel sistema,mxp,lgw,2024,2,2024-02-06 09:00:00,malpensa,london gatwick,milano,londra,ita,gbr,italia,,2,127.0,nsis,,,regno unito,ita,2,italia,127.0
viaggiatori entrati nel sistema,vce,lgw,2024,2,2024-02-17 19:15:00,venezia marco polo,london gatwick,venezia,londra,ita,gbr,italia,regno unito,4,104.0,manuale,,,regno unito,ita,4,italia,104.0
voli con allarmi,fco,gig,2024,2,,fiumicino,galeao-antonio carlos jobim international,roma,rio de janeiro,ita,bra,italia,,5,1.0,,,,brasile,ita,5,italia,1.0
viaggiatori con allarmi,vrn,lgw,2024,1,2024-01-30 13:10:00,verona villafranca,london gatwick,verona,londra,ita,gbr,italia,regno unito,4,2.0,,,,regno unito,ita,4,italia,2.0
allarmi generati da sdi/nsis,mxp,doh,2024,2,2024-02-21 02:20:00,malpensa,hamad international,milano,doha,ita,,italia,qatar,2,20.0,nsis,,,qatar,ita,2,italia,20.0
voli con allarmi,blq,tia,2024,2,,guglielmo marconi,rinas mother teresa,bologna,//,ita,alb,italia,albania,8,1.0,manuale,,,albania,ita,8,italia,1.0
voli con allarmi,blq,saw,2024,2,2024-02-25 11:30:00,guglielmo marconi,sabiha gokcen,bologna,istanbul,ita,tur,italia,turchia,8,1.0,manuale,,,turchia,ita,8,italia,1.0
viaggiatori entrati nel sistema,fco,znz,2024,1,,fiumicino,kisauni,roma,zanzibar,ita,tza,italia,tanzania,5,358.0,sdi,,,tanzania,ita,5,italia,358.0
"voli solo visualizzati, ma non investigati",lin,lcy,2024,2,2024-02-01 08:30:00,linate,london city,milano,londra,ita,gbr,italia,regno unito,2,1.0,,,,regno unito,ita,2,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),cta,tia,2024,2,2024-02-16 21:05:00,fontanarossa,rinas mother teresa,catania,tirana,ita,alb,italia,albania,7,1.0,tsc,,,albania,ita,7,italia,1.0
voli disponibili in ingresso al sistema,lin,lhr,2024,1,2024-01-10 18:30:00,linate,london heathrow,milano,londra,ita,gbr,italia,regno unito,2,1.0,interpol,,,regno unito,ita,2,italia,1.0
voli disponibili in ingresso al sistema,tsf,tia,,1,2024-01-07 16:15:00,treviso-sant'angelo,rinas mother teresa,treviso,tirana,ita,alb,italia,albania,4,1.0,sdi,,,albania,ita,4,italia,1.0
viaggiatori entrati nel sistema,fco,cmn,2024,2,2024-02-21 13:00:00,fiumicino,mohamed v,roma,casablanca,ita,mar,italia,marocco,5,140.0,sdi,,,marocco,ita,5,italia,140.0
allarmi rilevanti,mxp,prn,2024,2,,malpensa,prishtina international,milano,pristina,ita,rks,italia,cossovo,2,1.0,manuale,,,cossovo,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",lin,lcy,2023,2,2024-02-13 13:45:00,linate,london city,milano,londra,ita,gbr,italia,regno unito,2,1.0,manuale,,,regno unito,ita,2,italia,1.0
viaggiatori investigati,vce,stn,2024,1,2024-01-23 08:45:00,venezia marco polo,stansted,venezia,londra,ita,gbr,italia,regno unito,4,74.0,interpol,,,regno unito,ita,4,italia,74.0
viaggiatori con allarmi,tsf,tia,2024,2,2024-02-20 06:50:00,treviso-sant'angelo,rinas mother teresa,treviso,tirana,ita,alb,italia,albania,4,17.0,sdi,,,albania,ita,4,italia,17.0
voli con allarmi,fco,mex,2024,,2024-02-11 20:40:00,fiumicino,,roma,citta del messico,ita,mex,italia,messico,5,1.0,sdi,,,messico,ita,5,italia,1.0
voli disponibili in ingresso al sistema,cia,stn,2023,2,2024-02-27 17:00:00,ciampino,stansted,roma,londra,ita,gbr,italia,regno unito,5,1.0,sdi,,,regno unito,ita,5,italia,1.0
allarmi chiusi,fco,doh,2024,1,2024-01-04 15:35:00,fiumicino,hamad international,roma,doha,ita,qat,italia,qatar,5,15.0,tsc,,,qatar,ita,5,italia,15.0
voli con allarmi,mxp,tlv,2024,1,2024-01-17 06:50:00,malpensa,ben gurion international,milano,tel aviv yafo,ita,,italia,israele,2,1.0,manuale,,,israele,ita,2,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),cta,lgw,2024,1,2024-01-02 07:30:00,fontanarossa,london gatwick,catania,londra,ita,gbr,italia,regno unito,7,1.0,,,,regno unito,ita,7,italia,1.0
allarmi generati da sdi/nsis,fco,jed,2024,,2024-02-01 10:20:00,fiumicino,king abdulaziz international,roma,jeddah,ita,sau,italia,arabia saudita,5,11.0,tsc,,,arabia saudita,ita,5,italia,11.0
allarmi generati da bcs,fco,pvg,2024,2,2024-02-16 12:35:00,fiumicino,pu dong,roma,shanghai,ita,chn,italia,cina,5,4.0,,,,cina,ita,5,italia,4.0
allarmi generati da sdi/nsis,vce,lgw,2024,1,2024-01-05 09:30:00,venezia marco polo,london gatwick,venezia,londra,ita,gbr,italia,regno unito,4,5.0,interpol,,,regno unito,ita,4,italia,5.0
allarmi chiusi,vce,cmn,2024,2,2024-02-18 07:00:00,venezia marco polo,mohamed v,venezia,,ita,mar,italia,marocco,4,27.0,,,,marocco,ita,4,italia,27.0
voli con allarmi,fco,spx,2024,1,2024-01-03 11:05:00,fiumicino,sphinx international,roma,giza,ita,egy,italia,egitto,5,1.0,,,,egitto,ita,5,italia,1.0
voli con allarmi,mxp,tlv,2024,5,2024-02-11 18:25:00,malpensa,ben gurion international,milano,tel aviv yafo,ita,isr,italia,israele,2,1.0,manuale,,,israele,ita,2,italia,1.0
voli disponibili in ingresso al sistema,fco,doh,2024,1,2024-01-18 15:35:00,fiumicino,hamad international,roma,doha,ita,qat,italia,qatar,5,1.0,manuale,,,qatar,ita,5,italia,1.0
allarmi generati da sdi/nsis,mxp,jfk,2024,1,2024-01-08 19:40:00,malpensa,john f kennedy international,milano,new york,ita,usa,italia,stati uniti,2,7.0,manuale,,,stati uniti,ita,2,italia,7.0
viaggiatori investigati,mxp,auh,2024,3,2024-02-15 03:10:00,malpensa,abu dhabi international,milano,abu dhabi,ita,are,italia,emirati arabi uniti,2,273.0,manuale,,,emirati arabi uniti,ita,2,italia,273.0
voli con allarmi,mxp,lrm,2024,2,2024-02-17 19:50:00,malpensa,casa de campo international,milano,la romana,ita,dom,italia,repubblica dominicana,2,1.0,sdi,,,repubblica dominicana,ita,2,italia,1.0
viaggiatori investigati,vce,ist,2024,1,2024-01-17 13:05:00,venezia marco polo,havalimani,venezia,istanbul,ita,tur,italia,turchia,4,142.0,interpol,,,turchia,ita,4,italia,142.0
viaggiatori investigati,vce,stn,2024,2,2024-02-07 12:20:00,venezia marco polo,stansted,venezia,londra,ita,,italia,regno unito,4,175.0,nsis,,,regno unito,ita,4,italia,175.0
"voli solo visualizzati, ma non investigati",mxp,cai,2024,1,2024-01-04 09:35:00,malpensa,cairo international,milano,cairo,ita,egy,italia,egitto,2,1.0,tsc,,,egitto,ita,2,italia,1.0
nulla a procedere sdi,bgy,shj,2024,1,2024-01-11 22:10:00,orio al serio,sharjah,bergamo,sharjah,ita,are,italia,emirati arabi uniti,2,47.0,nsis,,,emirati arabi uniti,ita,2,italia,47.0
voli investigati (sdi/nsis - interpol - tsc),trn,tia,2024,2,,sandro pertini,,torino,tirana,ita,alb,italia,albania,1,1.0,,,,albania,ita,1,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),bgy,ncl,2024,1,2024-01-23 18:05:00,orio al serio,newcastle,bergamo,newcastle,ita,gbr,italia,regno unito,2,1.0,nsis,,,regno unito,ita,2,italia,1.0
viaggiatori entrati nel sistema,fco,auh,2024,1,2024-01-15 14:40:00,fiumicino,abu dhabi international,roma,abu dhabi,ita,are,italia,,5,270.0,manuale,,,emirati arabi uniti,ita,5,italia,270.0
allarmi rilevanti,mxp,ist,2024,1,2024-01-22 16:15:00,malpensa,havalimani,milano,istanbul,ita,tur,italia,turchia,2,1.0,sdi,,,turchia,ita,2,italia,1.0
allarmi generati da sdi/nsis,fco,kiv,2024,1,,fiumicino,chisinau international airport,roma,chisinau,ita,mda,italia,moldavia,5,14.0,manuale,,medio,moldavia,ita,5,italia,14.0
viaggiatori investigati,flr,lgw,2024,2,2024-02-13 10:05:00,firenze peretola,london gatwick,firenze,londra,ita,,italia,regno unito,8,138.0,nsis,,,regno unito,ita,8,italia,138.0
allarmi chiusi,mxp,tia,2024,2,2024-02-01 19:50:00,malpensa,rinas mother teresa,milano,tirana,ita,alb,italia,albania,2,14.0,nsis,,,albania,ita,2,italia,14.0
voli investigati (sdi/nsis - interpol - tsc),cia,stn,2024,1,2024-01-08 08:05:00,ciampino,stansted,roma,,ita,gbr,italia,regno unito,5,1.0,,,,regno unito,ita,5,italia,1.0
viaggiatori entrati nel sistema,tsf,tia,2023,2,2024-02-28 16:05:00,treviso-sant'angelo,rinas mother teresa,treviso,tirana,ita,alb,italia,albania,4,113.0,tsc,,,albania,ita,4,italia,113.0
nulla a procedere sdi,bgy,lpl,2024,2,2024-02-11 18:00:00,orio al serio,liverpool john lennon,bergamo,liverpool,ita,gbr,italia,,2,5.0,interpol,,,regno unito,ita,2,italia,5.0
viaggiatori investigati,mxp,stn,2024,9,2024-01-31 13:55:00,malpensa,stansted,milano,londra,ita,gbr,italia,regno unito,2,136.0,,,,regno unito,ita,2,italia,136.0
viaggiatori entrati nel sistema,mxp,doh,2024,1,,malpensa,hamad international,milano,doha,ita,qat,italia,qatar,2,207.0,interpol,,,qatar,ita,2,italia,207.0
voli disponibili in ingresso al sistema,flr,lcy,2024,1,2024-01-28 16:10:00,firenze peretola,london city,firenze,londra,ita,gbr,italia,regno unito,8,1.0,tsc,,,regno unito,ita,8,italia,1.0
voli disponibili in ingresso al sistema,fco,lhr,2024,,2024-01-21 12:55:00,fiumicino,london heathrow,roma,londra,tur,gbr,italia,regno unito,5,1.0,nsis,,,regno unito,ita,5,italia,1.0
"voli solo visualizzati, ma non investigati",trn,tia,2024,2,2024-02-11 19:55:00,sandro pertini,rinas mother teresa,torino,tirana,ita,alb,italia,albania,1,1.0,interpol,,,albania,ita,1,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),psa,tia,2024,1,2024-01-12 16:10:00,galileo galilei,rinas mother teresa,pisa,tirana,ita,,italia,albania,8,1.0,,,,albania,ita,8,italia,1.0
allarmi generati da sdi/nsis,fco,lhr,2024,2,,fiumicino,london heathrow,roma,londra,ita,gbr,italia,regno unito,5,1.0,tsc,,,regno unito,ita,5,italia,1.0
allarmi chiusi,mxp,amm,2024,1,2024-01-04 20:30:00,malpensa,queen alia international,milano,amman,ita,jor,italia,giordania,2,3.0,manuale,passeggero noto,,giordania,ita,2,italia,3.0
viaggiatori con allarmi,fco,lgw,2024,1,2024-01-01 06:40:00,fiumicino,london gatwick,roma,londra,ita,gbr,italia,regno unito,5,2.0,interpol,,,regno unito,ita,5,italia,2.0
"voli solo visualizzati, ma non investigati",fco,ist,2024,2,2024-02-26 09:15:00,fiumicino,havalimani,roma,istanbul,ita,tur,italia,turchia,5,,manuale,,,turchia,ita,5,italia,
viaggiatori con allarmi,blq,ist,2024,1,2024-01-05 13:00:00,guglielmo marconi,havalimani,bologna,istanbul,ita,tur,italia,turchia,8,12.0,nsis,,,turchia,ita,8,italia,12.0
viaggiatori entrati nel sistema,fco,mba,2024,1,2024-01-18 09:45:00,fiumicino,moi international,roma,mombasa,ita,ken,italia,kenya,5,337.0,manuale,,,kenya,ita,5,italia,337.0
allarmi rilevanti,fco,pek,2024,1,2024-01-25 13:25:00,fiumicino,beijing capital international,roma,pechino,ita,chn,italia,cina,5,1.0,interpol,,,cina,ita,5,italia,1.0
allarmi rilevanti,trn,lgw,2024,2,,sandro pertini,london gatwick,torino,londra,ita,gbr,italia,regno unito,1,1.0,sdi,,,regno unito,ita,1,italia,1.0
voli disponibili in ingresso al sistema,vce,lgw,2024,2,2024-02-08 19:55:00,venezia marco polo,london gatwick,venezia,londra,ita,gbr,italia,regno unito,4,1.0,tsc,,,regno unito,ita,4,italia,1.0
viaggiatori investigati,mxp,sin,2024,1,2024-01-07 23:45:00,malpensa,changi,milano,singapore,ita,sgp,italia,singapore,2,247.0,,,,singapore,ita,2,italia,247.0
nulla a procedere sdi,mxp,lgw,2024,2,,malpensa,london gatwick,milano,londra,ita,gbr,italia,regno unito,2,4.0,manuale,,,regno unito,ita,2,italia,4.0
viaggiatori con allarmi,fco,hnd,2024,1,2024-01-08 13:20:00,fiumicino,tokyo international (haneda),roma,tokyo,ita,jpn,italia,giappone,5,2.0,interpol,,,giappone,ita,5,italia,2.0
voli investigati (sdi/nsis - interpol - tsc),lin,lhr,2024,2,2024-02-21 07:25:00,linate,london heathrow,milano,londra,ita,gbr,italia,regno unito,2,1.0,tsc,,,regno unito,ita,2,italia,1.0
viaggiatori entrati nel sistema,fco,doh,,1,2024-01-01 02:30:00,fiumicino,hamad international,roma,doha,deu,qat,italia,qatar,5,115.0,tsc,,,qatar,ita,5,italia,115.0
viaggiatori entrati nel sistema,trn,ltn,2024,2,2024-02-25 18:25:00,sandro pertini,london luton,torino,londra,ita,gbr,italia,regno unito,1,120.0,interpol,,,regno unito,ita,1,italia,120.0
"voli solo visualizzati, ma non investigati",fco,atl,2024,2,2024-02-06 20:15:00,fiumicino,hartsfield-jackson atlanta international,roma,atlanta,ita,usa,italia,stati uniti,5,1.0,interpol,,,stati uniti,ita,5,italia,1.0
"voli solo visualizzati, ma non investigati",vrn,man,2024,2,,verona villafranca,manchester,verona,manchester,ita,gbr,italia,regno unito,4,1.0,tsc,,,regno unito,ita,4,italia,1.0
"voli solo visualizzati, ma non investigati",mxp,pek,2024,1,2024-01-03 01:35:00,malpensa,beijing capital international,milano,pechino,ita,chn,italia,cina,2,1.0,sdi,,,cina,ita,2,italia,1.0
"voli solo visualizzati, ma non investigati",blq,lhr,2024,1,2024-01-25 19:40:00,guglielmo marconi,london heathrow,bologna,londra,ita,gbr,italia,regno unito,8,1.0,nsis,,,regno unito,ita,8,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),mxp,ssh,2024,1,2024-01-21 13:10:00,malpensa,sharm el-sheikh international,milano,sharm el sheikh,ita,egy,italia,egitto,2,1.0,,,,egitto,ita,2,italia,1.0
viaggiatori con allarmi,mxp,add,2024,1,2024-01-06 00:15:00,malpensa,bole international,milano,addis ababa,ita,eth,italia,etiopia,2,30.0,manuale,,,etiopia,ita,2,italia,30.0
"voli solo visualizzati, ma non investigati",nap,man,2024,2,,napoli capodichino,manchester,napoli,manchester,ita,gbr,italia,regno unito,6,1.0,nsis,,,regno unito,ita,6,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),tsf,ltn,2024,2,2024-02-07 13:45:00,treviso-sant'angelo,london luton,treviso,londra,ita,gbr,italia,regno unito,4,1.0,tsc,,,regno unito,ita,4,italia,1.0
nulla a procedere sdi,blq,lhr,2024,2,,guglielmo marconi,london heathrow,bologna,londra,ita,gbr,italia,regno unito,8,7.0,interpol,,,regno unito,ita,8,italia,7.0
viaggiatori investigati,flr,lgw,2024,1,2024-01-12 15:34:00,firenze peretola,london gatwick,firenze,londra,ita,,italia,regno unito,8,114.0,sdi,,,regno unito,ita,8,italia,114.0
viaggiatori con allarmi,mxp,auh,2024,2,2024-02-07 14:45:00,malpensa,abu dhabi international,milano,abu dhabi,ita,are,italia,emirati arabi uniti,2,20.0,nsis,,,emirati arabi uniti,ita,2,italia,20.0
allarmi chiusi,mxp,jfk,2024,1,2024-01-05 19:40:00,malpensa,john f kennedy international,milano,new york,ita,usa,italia,stati uniti,2,11.0,sdi,,,stati uniti,ita,2,italia,11.0
viaggiatori con allarmi,vce,cmn,2024,1,2024-01-23 12:55:00,venezia marco polo,mohamed v,venezia,casablanca,ita,mar,italia,marocco,4,52.0,interpol,,,marocco,ita,4,italia,52.0
viaggiatori entrati nel sistema,pmo,ist,2024,2,2024-02-09 07:55:00,punta raisi,havalimani,palermo,istanbul,ita,tur,italia,turchia,7,96.0,manuale,,,turchia,ita,7,italia,96.0
viaggiatori investigati,mxp,man,2024,1,2024-01-26 07:45:00,malpensa,manchester,milano,manchester,ita,gbr,italia,regno unito,2,185.0,,,,regno unito,ita,2,italia,185.0
nulla a procedere sdi,mxp,cai,2024,1,2024-01-20 09:35:00,malpensa,cairo international,milano,cairo,ita,egy,italia,egitto,2,,tsc,,,egitto,ita,2,italia,
allarmi generati da sdi/nsis,pmo,ist,2024,2,2024-02-09 07:55:00,punta raisi,havalimani,palermo,istanbul,ita,tur,italia,turchia,7,6.0,interpol,,,turchia,ita,7,italia,6.0
viaggiatori entrati nel sistema,bgy,tia,2024,1,2024-01-11 06:10:00,orio al serio,rinas mother teresa,bergamo,tirana,ita,alb,italia,albania,2,161.0,nsis,,,albania,ita,2,italia,161.0
"voli solo visualizzati, ma non investigati",nap,ist,2024,1,,napoli capodichino,havalimani,napoli,istanbul,ita,tur,italia,turchia,6,1.0,sdi,,,turchia,ita,6,italia,1.0
voli investigati (sdi/nsis - interpol - tsc),fco,lhr,2024,1,2024-01-02 15:50:00,fiumicino,london heathrow,roma,londra,ita,gbr,italia,regno unito,5,1.0,interpol,,,regno unito,ita,5,italia,1.0
viaggiatori entrati nel sistema,blq,cmn,2024,2,2024-02-16 12:50:00,guglielmo marconi,mohamed v,bologna,casablanca,ita,mar,italia,marocco,8,129.0,tsc,,,marocco,ita,8,italia,129.0
viaggiatori con allarmi,psa,stn,2024,,2024-01-19 18:15:00,galileo galilei,stansted,pisa,londra,ita,gbr,italia,regno unito,8,5.0,sdi,,,regno unito,ita,8,italia,5.0
allarmi chiusi,mxp,pek,2024,,2024-01-22 01:35:00,malpensa,beijing capital international,milano,pechino,ita,chn,italia,cina,2,11.0,sdi,,,cina,ita,2,italia,11.0
voli con allarmi,nap,stn,2024,1,2024-01-08 17:25:00,napoli capodichino,stansted,napoli,londra,ita,gbr,italia,regno unito,6,1.0,,,,regno unito,ita,6,italia,1.0
voli con allarmi,bgy,kiv,2024,1,2024-01-12 13:20:00,orio al serio,chisinau international airport,bergamo,chisinau,ita,mda,italia,,2,1.0,tsc,,,moldavia,ita,2,italia,1.0
viaggiatori entrati nel sistema,blq,man,2024,1,2024-01-19 14:45:00,guglielmo marconi,manchester,bologna,manchester,ita,gbr,italia,regno unito,8,169.0,sdi,,,regno unito,ita,8,italia,169.0
voli con allarmi,cia,rak,2024,1,2024-01-01 05:45:00,ciampino,menara,roma,marrakech,ita,mar,italia,marocco,5,1.0,nsis,,,marocco,ita,5,italia,1.0
voli con allarmi,blq,tia,2024,2,2024-02-29 18:10:00,guglielmo marconi,rinas mother teresa,bologna,tirana,ita,alb,italia,albania,8,1.0,tsc,,,albania,ita,8,italia,1.0
viaggiatori entrati nel sistema,fco,brs,2024,2,2024-02-21 13:45:00,fiumicino,,roma,bristol,ita,gbr,italia,regno unito,5,163.0,interpol,,,regno unito,ita,5,italia,163.0
voli con allarmi,bgy,saw,2024,1,2024-01-02 11:10:00,orio al serio,sabiha gokcen,bergamo,istanbul,ita,tur,italia,turchia,2,1.0,interpol,,,turchia,ita,2,italia,1.0
allarmi generati da sdi/nsis,fco,tia,2024,1,2024-01-23 06:10:00,fiumicino,rinas mother teresa,roma,tirana,ita,alb,italia,albania,5,2.0,interpol,,,albania,ita,5,italia,2.0
allarmi chiusi,trn,lgw,2024,2,2024-02-23 11:10:00,sandro pertini,london gatwick,torino,londra,ita,gbr,italia,regno unito,1,2.0,nsis,,,regno unito,ita,1,italia,2.0
viaggiatori entrati nel sistema,tsf,tia,2024,2,2024-02-05 11:50:00,treviso-sant'angelo,rinas mother teresa,treviso,tirana,ita,alb,italia,albania,4,151.0,interpol,,,albania,ita,4,italia,151.0
voli investigati (sdi/nsis - interpol - tsc),mxp,tlv,2024,1,2024-01-27 10:00:00,malpensa,ben gurion international,milano,tel aviv yafo,ita,isr,italia,israele,2,1.0,interpol,,,israele,ita,2,italia,1.0
voli con allarmi,blq,saw,2024,2,2024-02-10 07:15:00,guglielmo marconi,sabiha gokcen,bologna,istanbul,ita,tur,italia,,8,1.0,manuale,,,turchia,ita,8,italia,1.0
voli con allarmi,vce,man,2024,2,2024-02-24 17:05:00,venezia marco polo,manchester,venezia,manchester,ita,gbr,italia,regno unito,4,1.0,interpol,,,regno unito,ita,4,italia,1.0
voli con allarmi,tsf,tia,2024,2,2024-02-19 11:50:00,treviso-sant'angelo,rinas mother teresa,treviso,tirana,ita,alb,italia,albania,4,1.0,manuale,,,albania,ita,4,italia,1.0
errata segnalazione sdi,fco,lgw,2024,2,2024-02-18 09:50:00,fiumicino,,roma,londra,ita,gbr,italia,regno unito,5,1.0,tsc,,,regno unito,ita,5,italia,1.0
voli con allarmi,psa,lgw,2024,2,2024-02-24 10:50:00,galileo galilei,london gatwick,pisa,londra,ita,gbr,italia,regno unito,8,,tsc,,,regno unito,ita,8,italia,
